date," high rate consumption kWh"," low rate consumption kWh",Column1
2021-01-07 00:06:12," 2439.271",,
2021-01-07 00:06:12,," 52531.937",
2021-01-07 00:19:52,," 52532.442",
2021-01-07 00:19:52," 2439.271",,
2021-01-07 00:33:32," 2439.271",,
2021-01-07 00:33:32,," 52532.720",
2021-01-07 00:47:12," 2439.271",,
2021-01-07 00:47:12,," 52532.756",
2021-01-07 01:00:52," 2439.271",,
2021-01-07 01:00:52,," 52532.790",
2021-01-07 01:14:32,," 52532.822",
2021-01-07 01:14:32," 2439.271",,
2021-01-07 01:28:13," 2439.271",,
2021-01-07 01:28:13,," 52532.860",
2021-01-07 01:41:53," 2439.271",,
2021-01-07 01:41:53,," 52533.484",
2021-01-07 01:55:33," 2439.271",,
2021-01-07 01:55:33,," 52533.737",
2021-01-07 02:09:13,," 52534.206",
2021-01-07 02:09:13," 2439.271",,
2021-01-07 02:22:54," 2439.271",,
2021-01-07 02:22:54,," 52534.753",
2021-01-07 02:36:33," 2439.271",,
2021-01-07 02:36:33,," 52535.092",
2021-01-07 02:50:13," 2439.271",,
2021-01-07 02:50:13,," 52536.028",
2021-01-07 03:03:53,," 52536.808",
2021-01-07 03:03:53," 2439.271",,
2021-01-07 03:17:34," 2439.271",,
2021-01-07 03:17:34,," 52536.918",
2021-01-07 03:31:13," 2439.271",,
2021-01-07 03:31:13,," 52537.107",
2021-01-07 03:44:53," 2439.271",,
2021-01-07 03:44:53,," 52537.139",
2021-01-07 03:58:33,," 52537.270",
2021-01-07 03:58:33," 2439.271",,
2021-01-07 04:12:12," 2439.271",,
2021-01-07 04:12:12,," 52537.593",
2021-01-07 04:25:52," 2439.271",,
2021-01-07 04:25:52,," 52538.135",
2021-01-07 04:39:31," 2439.271",,
2021-01-07 04:39:31,," 52538.162",
2021-01-07 04:53:11,," 52538.292",
2021-01-07 04:53:11," 2439.271",,
2021-01-07 05:06:50," 2439.271",,
2021-01-07 05:06:50,," 52538.348",
2021-01-07 05:20:29," 2439.271",,
2021-01-07 05:20:29,," 52538.637",
2021-01-07 05:34:08," 2439.271",,
2021-01-07 05:34:08,," 52539.256",
2021-01-07 05:47:47,," 52539.307",
2021-01-07 05:47:47," 2439.271",,
2021-01-07 06:01:27," 2439.271",,
2021-01-07 06:01:27,," 52539.813",
2021-01-07 06:15:07," 2439.271",,
2021-01-07 06:15:07,," 52542.613",
2021-01-07 06:28:48," 2439.271",,
2021-01-07 06:28:48,," 52545.026",
2021-01-07 06:42:29,," 52546.223",
2021-01-07 06:42:29," 2439.271",,
2021-01-07 06:56:07," 2439.271",,
2021-01-07 06:56:07,," 52547.515",
2021-01-07 07:09:47," 2439.271",,
2021-01-07 07:09:47,," 52549.173",
2021-01-07 07:23:26," 2439.271",,
2021-01-07 07:23:26,," 52550.738",
2021-01-07 07:37:06,," 52551.989",
2021-01-07 07:37:06," 2439.316",,
2021-01-07 07:50:46," 2439.363",,
2021-01-07 07:50:46,," 52551.989",
2021-01-07 08:04:25," 2439.410",,
2021-01-07 08:04:25,," 52551.989",
2021-01-07 08:18:05," 2439.464",,
2021-01-07 08:18:05,," 52551.989",
2021-01-07 08:31:44,," 52551.989",
2021-01-07 08:31:44," 2439.516",,
2021-01-07 08:45:24," 2439.525",,
2021-01-07 08:45:24,," 52552.022",
2021-01-07 08:59:03," 2439.525",,
2021-01-07 08:59:03,," 52552.078",
2021-01-07 09:12:43,," 52552.131",
2021-01-07 09:12:43," 2439.525",,
2021-01-07 09:26:23," 2439.525",,
2021-01-07 09:26:23,," 52552.474",
2021-01-07 09:40:02,," 52553.036",
2021-01-07 09:40:02," 2439.525",,
2021-01-07 09:53:42," 2439.525",,
2021-01-07 09:53:42,," 52553.113",
2021-01-07 10:07:21," 2439.547",,
2021-01-07 10:07:21,," 52553.301",
2021-01-07 10:21:01," 2439.590",,
2021-01-07 10:21:01,," 52553.301",
2021-01-07 10:34:41,," 52553.301",
2021-01-07 10:34:41," 2439.645",,
2021-01-07 10:48:19," 2439.698",,
2021-01-07 10:48:19,," 52553.301",
2021-01-07 11:01:59," 2439.738",,
2021-01-07 11:01:59,," 52553.405",
2021-01-07 11:15:37," 2439.738",,
2021-01-07 11:15:37,," 52554.461",
2021-01-07 11:29:15,," 52555.049",
2021-01-07 11:29:15," 2439.738",,
2021-01-07 11:42:54," 2439.738",,
2021-01-07 11:42:54,," 52555.764",
2021-01-07 11:56:32," 2439.738",,
2021-01-07 11:56:32,," 52555.812",
2021-01-07 12:10:11," 2439.738",,
2021-01-07 12:10:11,," 52555.954",
2021-01-07 12:23:49,," 52556.005",
2021-01-07 12:23:49," 2439.738",,
2021-01-07 12:37:28," 2439.759",,
2021-01-07 12:37:28,," 52556.026",
2021-01-07 12:51:07," 2439.815",,
2021-01-07 12:51:07,," 52556.026",
2021-01-07 13:04:46," 2439.849",,
2021-01-07 13:04:46,," 52556.026",
2021-01-07 13:18:24,," 52556.026",
2021-01-07 13:18:24," 2439.872",,
2021-01-07 13:32:03," 2440.295",,
2021-01-07 13:32:03,," 52556.089",
2021-01-07 13:45:42," 2440.295",,
2021-01-07 13:45:42,," 52556.662",
2021-01-07 13:59:20," 2440.295",,
2021-01-07 13:59:20,," 52556.686",
2021-01-07 14:12:59,," 52556.947",
2021-01-07 14:12:59," 2440.295",,
2021-01-07 14:26:38," 2440.295",,
2021-01-07 14:26:38,," 52557.103",
2021-01-07 14:40:16," 2440.295",,
2021-01-07 14:40:16,," 52557.155",
2021-01-07 14:53:55," 2440.295",,
2021-01-07 14:53:55,," 52557.619",
2021-01-07 15:07:35,," 52557.960",
2021-01-07 15:07:35," 2440.295",,
2021-01-07 15:21:13," 2440.295",,
2021-01-07 15:21:13,," 52558.119",
2021-01-07 15:34:52," 2440.295",,
2021-01-07 15:34:52,," 52558.264",
2021-01-07 15:48:31," 2440.295",,
2021-01-07 15:48:31,," 52558.290",
2021-01-07 16:02:11,," 52558.760",
2021-01-07 16:02:11," 2440.298",,
2021-01-07 16:15:50," 2440.845",,
2021-01-07 16:15:50,," 52558.760",
2021-01-07 16:29:30," 2440.933",,
2021-01-07 16:29:30,," 52558.760",
2021-01-07 16:43:09," 2440.957",,
2021-01-07 16:43:09,," 52558.760",
2021-01-07 16:56:48,," 52558.760",
2021-01-07 16:56:48," 2440.991",,
2021-01-07 17:10:38," 2441.000",,
2021-01-07 17:10:38,," 52560.273",
2021-01-07 17:24:07," 2441.000",,
2021-01-07 17:24:07,," 52562.270",
2021-01-07 17:37:46," 2441.000",,
2021-01-07 17:37:46,," 52564.569",
2021-01-07 17:51:26,," 52566.102",
2021-01-07 17:51:26," 2441.000",,
2021-01-07 18:05:06," 2441.000",,
2021-01-07 18:05:06,," 52568.427",
2021-01-07 18:18:45," 2441.000",,
2021-01-07 18:18:45,," 52570.350",
2021-01-07 18:32:24," 2441.000",,
2021-01-07 18:32:24,," 52571.632",
2021-01-07 18:46:03,," 52573.708",
2021-01-07 18:46:03," 2441.000",,
2021-01-07 18:59:44," 2441.000",,
2021-01-07 18:59:44,," 52575.563",
2021-01-07 19:13:23," 2441.000",,
2021-01-07 19:13:23,," 52576.415",
2021-01-07 19:27:03," 2441.000",,
2021-01-07 19:27:03,," 52577.625",
2021-01-07 19:40:43,," 52578.428",
2021-01-07 19:40:43," 2441.000",,
2021-01-07 19:54:24," 2441.000",,
2021-01-07 19:54:24,," 52579.484",
2021-01-07 20:08:05," 2441.000",,
2021-01-07 20:08:05,," 52581.168",
2021-01-07 20:21:45," 2441.000",,
2021-01-07 20:21:45,," 52581.861",
2021-01-07 20:35:24,," 52582.684",
2021-01-07 20:35:24," 2441.000",,
2021-01-07 20:49:06," 2441.000",,
2021-01-07 20:49:06,," 52583.524",
2021-01-07 21:02:45," 2441.000",,
2021-01-07 21:02:45,," 52583.861",
2021-01-07 21:16:25," 2441.000",,
2021-01-07 21:16:25,," 52584.137",
2021-01-07 21:30:06,," 52584.822",
2021-01-07 21:30:06," 2441.000",,
2021-01-07 21:43:46," 2441.000",,
2021-01-07 21:43:46,," 52585.054",
2021-01-07 21:57:27," 2441.000",,
2021-01-07 21:57:27,," 52585.528",
2021-01-07 22:11:07," 2441.000",,
2021-01-07 22:11:07,," 52586.728",
2021-01-07 22:24:47,," 52587.043",
2021-01-07 22:24:47," 2441.000",,
2021-01-07 22:38:27," 2441.000",,
2021-01-07 22:38:27,," 52587.399",
2021-01-07 22:52:08," 2441.000",,
2021-01-07 22:52:08,," 52588.072",
2021-01-07 23:05:48," 2441.000",,
2021-01-07 23:05:48,," 52588.187",
2021-01-07 23:19:28," 2441.000",,
2021-01-07 23:19:28,," 52589.199",
2021-01-07 23:33:08," 2441.000",,
2021-01-07 23:33:08,," 52589.773",
2021-01-07 23:46:48," 2441.000",,
2021-01-07 23:46:48,," 52589.816",
2021-01-08 00:00:39,," 52590.041",
2021-01-08 00:00:39," 2441.000",,
2021-01-08 00:14:08," 2441.000",,
2021-01-08 00:14:08,," 52590.069",
2021-01-08 00:27:49,," 52590.093",
2021-01-08 00:27:49," 2441.000",,
2021-01-08 00:41:28," 2441.000",,
2021-01-08 00:41:28,," 52590.561",
2021-01-08 00:55:08," 2441.000",,
2021-01-08 00:55:08,," 52590.832",
2021-01-08 01:08:47," 2441.000",,
2021-01-08 01:08:47,," 52590.855",
2021-01-08 01:22:26,," 52590.882",
2021-01-08 01:22:26," 2441.000",,
2021-01-08 01:36:06," 2441.000",,
2021-01-08 01:36:06,," 52590.914",
2021-01-08 01:49:46," 2441.000",,
2021-01-08 01:49:46,," 52590.941",
2021-01-08 02:03:26,," 52591.805",
2021-01-08 02:03:26," 2441.000",,
2021-01-08 02:17:06," 2441.000",,
2021-01-08 02:17:06,," 52592.531",
2021-01-08 02:30:46,," 52593.297",
2021-01-08 02:30:46," 2441.000",,
2021-01-08 02:44:24," 2441.000",,
2021-01-08 02:44:24,," 52593.968",
2021-01-08 02:58:04," 2441.000",,
2021-01-08 02:58:04,," 52594.492",
2021-01-08 03:11:42," 2441.000",,
2021-01-08 03:11:42,," 52594.654",
2021-01-08 03:25:21,," 52595.403",
2021-01-08 03:25:21," 2441.000",,
2021-01-08 03:39:01," 2441.000",,
2021-01-08 03:39:01,," 52595.433",
2021-01-08 03:52:40," 2441.000",,
2021-01-08 03:52:40,," 52595.464",
2021-01-08 04:06:18,," 52595.692",
2021-01-08 04:06:18," 2441.000",,
2021-01-08 04:19:58," 2441.000",,
2021-01-08 04:19:58,," 52595.714",
2021-01-08 04:33:36,," 52596.063",
2021-01-08 04:33:36," 2441.000",,
2021-01-08 04:47:15," 2441.000",,
2021-01-08 04:47:15,," 52596.408",
2021-01-08 05:00:54," 2441.000",,
2021-01-08 05:00:54,," 52596.550",
2021-01-08 05:14:33," 2441.000",,
2021-01-08 05:14:33,," 52596.607",
2021-01-08 05:28:14,," 52596.665",
2021-01-08 05:28:14," 2441.000",,
2021-01-08 05:41:55," 2441.000",,
2021-01-08 05:41:55,," 52596.945",
2021-01-08 05:55:35," 2441.000",,
2021-01-08 05:55:35,," 52597.602",
2021-01-08 06:09:15,," 52599.108",
2021-01-08 06:09:15," 2441.000",,
2021-01-08 06:22:56," 2441.000",,
2021-01-08 06:22:56,," 52601.900",
2021-01-08 06:36:35,," 52603.697",
2021-01-08 06:36:35," 2441.000",,
2021-01-08 06:50:16," 2441.000",,
2021-01-08 06:50:16,," 52605.507",
2021-01-08 07:03:57," 2441.000",,
2021-01-08 07:03:57,," 52607.071",
2021-01-08 07:17:36," 2441.000",,
2021-01-08 07:17:36,," 52608.154",
2021-01-08 07:31:17,," 52609.534",
2021-01-08 07:31:17," 2441.000",,
2021-01-08 07:44:56," 2441.301",,
2021-01-08 07:44:56,," 52609.799",
2021-01-08 07:58:37," 2441.891",,
2021-01-08 07:58:37,," 52609.799",
2021-01-08 08:12:17,," 52609.799",
2021-01-08 08:12:17," 2441.938",,
2021-01-08 08:25:57," 2441.992",,
2021-01-08 08:25:57,," 52609.799",
2021-01-08 08:39:38,," 52609.815",
2021-01-08 08:39:38," 2442.027",,
2021-01-08 08:53:19," 2442.027",,
2021-01-08 08:53:19,," 52609.858",
2021-01-08 09:06:59," 2442.027",,
2021-01-08 09:06:59,," 52609.914",
2021-01-08 09:20:40," 2442.027",,
2021-01-08 09:20:40,," 52609.967",
2021-01-08 09:34:20,," 52610.012",
2021-01-08 09:34:20," 2442.027",,
2021-01-08 09:48:00," 2442.027",,
2021-01-08 09:48:00,," 52610.561",
2021-01-08 10:01:39," 2442.031",,
2021-01-08 10:01:39,," 52611.117",
2021-01-08 10:15:19,," 52611.117",
2021-01-08 10:15:19," 2442.078",,
2021-01-08 10:29:00," 2442.125",,
2021-01-08 10:29:00,," 52611.117",
2021-01-08 10:42:39,," 52611.117",
2021-01-08 10:42:39," 2442.178",,
2021-01-08 10:56:17," 2442.231",,
2021-01-08 10:56:17,," 52611.117",
2021-01-08 11:09:56," 2442.245",,
2021-01-08 11:09:56,," 52611.909",
2021-01-08 11:23:35," 2442.245",,
2021-01-08 11:23:35,," 52612.379",
2021-01-08 11:37:13,," 52612.586",
2021-01-08 11:37:13," 2442.245",,
2021-01-08 11:50:51," 2442.245",,
2021-01-08 11:50:51,," 52612.964",
2021-01-08 12:04:30," 2442.245",,
2021-01-08 12:04:30,," 52613.618",
2021-01-08 12:18:07,," 52613.671",
2021-01-08 12:18:07," 2442.245",,
2021-01-08 12:31:44," 2442.248",,
2021-01-08 12:31:44,," 52613.717",
2021-01-08 12:45:21,," 52613.717",
2021-01-08 12:45:21," 2442.294",,
2021-01-08 12:58:57," 2442.334",,
2021-01-08 12:58:57,," 52613.717",
2021-01-08 13:12:34," 2442.362",,
2021-01-08 13:12:34,," 52613.717",
2021-01-08 13:26:11," 2442.559",,
2021-01-08 13:26:11,," 52613.717",
2021-01-08 13:39:49,," 52613.998",
2021-01-08 13:39:49," 2442.794",,
2021-01-08 13:53:25," 2442.794",,
2021-01-08 13:53:25,," 52614.022",
2021-01-08 14:07:03," 2442.794",,
2021-01-08 14:07:03,," 52614.121",
2021-01-08 14:20:40,," 52614.346",
2021-01-08 14:20:40," 2442.794",,
2021-01-08 14:34:18," 2442.794",,
2021-01-08 14:34:18,," 52614.375",
2021-01-08 14:47:56,," 52614.799",
2021-01-08 14:47:56," 2442.794",,
2021-01-08 15:01:34," 2442.794",,
2021-01-08 15:01:34,," 52615.213",
2021-01-08 15:15:12," 2442.794",,
2021-01-08 15:15:12,," 52615.242",
2021-01-08 15:28:50," 2442.794",,
2021-01-08 15:28:50,," 52615.413",
2021-01-08 15:42:29," 2442.794",,
2021-01-08 15:42:29,," 52615.559",
